Digits,Karatsuba,GradeSchool,DivConquer
4525,11682.7,641,135179
4600,11902.3,659.333,136186
4675,12360.3,682,142870
4750,12674,704,145755
4825,12968.7,725.667,147433
4900,13278.7,748.333,149494
4975,13514.3,771.333,150573
5050,13766.3,796.333,151565
5125,14041.3,818.333,154224
5200,14512.3,842.667,159319
5275,14857.7,867,161806
5350,15099.3,891.667,163418
5425,15388.3,920.667,165578
5500,15651,942.667,166323
5575,15886.3,970,167458
5650,16260.7,994,168876
5725,16496.7,1021.67,170328
5800,16741,1049.33,171244
5875,16905.3,1075,171612
5950,17194.3,1102,172498
6025,17469,1131.33,173058
6100,17693.7,1159.33,173056
6175,18203.7,1187.67,207313
6250,18772.7,1216.67,232971
6325,19157.3,1253,249429
6400,19458,1276,255012
6475,19918.7,1305.67,272882
6550,20230,1336.33,278995
6625,20449,1368,282298
6700,20894,1399,296619
6775,21206.3,1431.33,302871
6850,21470,1460.67,308416
6925,21719.7,1493.67,312566
7000,22029,1527,316379
7075,22241.3,1559.67,318418
7150,22480.3,1591.67,319159
7225,23099.3,1636.67,334504
7300,23500.7,1661,341074
7450,24296,1740.5,351781
7600,24927,1814.4,356112
7750,25646.3,1884.4,362674
7900,26359.2,1957.6,367483
8050,27075.8,2035.7,369074
8200,28094.3,2113.4,392367
8350,29984.8,2189.3,458762
8500,31287.7,2272.3,484807
8650,32415.2,2350.4,499635
8800,33586.3,2438.2,523418
